xiaoqu,total_price,unit_price,region,build_area,house_area,room,orientations,guapai_time,url
慧忠里,780,89399,亚运村,87.25㎡,暂无数据,2室1厅1厨1卫,西南,2018-02-02,https://bj.ke.com/ershoufang/101102539086.html
润枫德尚苑,780,53734,亚运村,145.16㎡,114㎡,2室1厅1厨1卫,西北,2018-03-21,https://bj.ke.com/ershoufang/101102678709.html
保利金泉,800,81277,亚运村,98.43㎡,77㎡,2室2厅1厨1卫,东北,2018-03-25,https://bj.ke.com/ershoufang/101102697873.html
九台2000家园,800,73254,亚运村,109.21㎡,88.21㎡,2室1厅1厨2卫,东,2018-03-25,https://bj.ke.com/ershoufang/101102699640.html
保利金泉,788,84054,亚运村,93.75㎡,73.42㎡,2室1厅1厨1卫,东,2018-04-19,https://bj.ke.com/ershoufang/101102786084.html
安慧北里逸园,655,69570,亚运村,94.15㎡,73.93㎡,2室1厅1厨1卫,西南,2018-04-22,https://bj.ke.com/ershoufang/101102796629.html
润枫德尚苑,710,49853,亚运村,142.42㎡,111.85㎡,2室2厅1厨1卫,东,2018-04-28,https://bj.ke.com/ershoufang/101102814592.html
天创世缘,780,64914,亚运村,120.16㎡,96.03㎡,2室2厅1厨2卫,东南,2018-04-28,https://bj.ke.com/ershoufang/101102815752.html
安慧北里逸园,700,82247,亚运村,85.11㎡,66.18㎡,2室2厅1厨1卫,南 北,2018-05-03,https://bj.ke.com/ershoufang/101102832539.html
保利金泉,800,81475,亚运村,98.19㎡,77㎡,2室1厅1厨1卫,东南,2018-06-01,https://bj.ke.com/ershoufang/101102933493.html
安慧北里逸园,800,79279,亚运村,100.91㎡,82.63㎡,2室1厅1厨1卫,南,2018-06-03,https://bj.ke.com/ershoufang/101102941522.html
嘉铭桐城A区,690,82202,亚运村小营,83.94㎡,67.59㎡,2室1厅1厨1卫,东 西,2017-05-14,https://bj.ke.com/ershoufang/101101584928.html
凯旋城,700,61947,亚运村小营,113㎡,90.4㎡,2室0厅0厨1卫,东北,2017-05-24,https://bj.ke.com/ershoufang/101101616515.html
盛和家园,700,69847,亚运村小营,100.22㎡,77.27㎡,2室1厅1厨1卫,东,2017-08-27,https://bj.ke.com/ershoufang/101102004772.html
嘉铭桐城B区,720,94130,亚运村小营,76.49㎡,62.49㎡,2室1厅1厨1卫,东,2017-09-27,https://bj.ke.com/ershoufang/101102132506.html
紫薇天悦,780,77474,亚运村小营,100.68㎡,81.6㎡,2室1厅1厨1卫,西南,2017-11-04,https://bj.ke.com/ershoufang/101102270327.html
欧陆经典,750,92559,亚运村小营,81.03㎡,81.03㎡,2室1厅1厨1卫,西南,2017-12-09,https://bj.ke.com/ershoufang/101102383788.html
盛和家园,650,64274,亚运村小营,101.13㎡,78.09㎡,2室1厅1厨1卫,南,2017-12-09,https://bj.ke.com/ershoufang/101102384776.html
华仑大厦,715,72952,亚运村小营,98.01㎡,73.05㎡,2室1厅1厨1卫,东,2017-12-16,https://bj.ke.com/ershoufang/101102405004.html
盛和家园,720,71842,亚运村小营,100.22㎡,77.27㎡,2室1厅1厨1卫,东南,2018-01-07,https://bj.ke.com/ershoufang/101102468054.html
锦绣馨园,695,68460,亚运村小营,101.52㎡,83.98㎡,2室1厅1厨1卫,西南,2018-02-03,https://bj.ke.com/ershoufang/101102541573.html
凯旋城,760,73573,亚运村小营,103.3㎡,1㎡,2室1厅1厨2卫,西南,2018-03-14,https://bj.ke.com/ershoufang/101102651750.html
锦绣馨园,690,71689,亚运村小营,96.25㎡,74.16㎡,2室2厅1厨1卫,东南,2018-03-24,https://bj.ke.com/ershoufang/101102692392.html
安慧东里,650,64549,亚运村小营,100.7㎡,78.96㎡,2室1厅1厨2卫,西,2018-03-27,https://bj.ke.com/ershoufang/101102703884.html
紫薇天悦,790,77619,亚运村小营,101.78㎡,82.44㎡,2室1厅1厨1卫,东南,2018-03-31,https://bj.ke.com/ershoufang/101102720864.html
主场,650,86093,亚运村小营,75.5㎡,61.39㎡,2室1厅1厨1卫,西,2018-04-03,https://bj.ke.com/ershoufang/101102730083.html
紫薇天悦,800,79460,亚运村小营,100.68㎡,81.6㎡,2室1厅1厨1卫,东南,2018-04-04,https://bj.ke.com/ershoufang/101102732356.html
锦绣馨园,750,68720,亚运村小营,109.14㎡,90.28㎡,2室1厅1厨1卫,西南,2018-04-19,https://bj.ke.com/ershoufang/101102787775.html
盛和家园,750,67794,亚运村小营,110.63㎡,85.29㎡,2室1厅1厨1卫,南,2018-04-26,https://bj.ke.com/ershoufang/101102808876.html
阳明国际公寓,680,53624,亚运村小营,126.81㎡,95.22㎡,2室2厅1厨2卫,东南,2018-04-30,https://bj.ke.com/ershoufang/101102821371.html
康斯丹郡,780,75965,亚运村小营,102.68㎡,88.41㎡,2室1厅1厨1卫,西,2018-05-03,https://bj.ke.com/ershoufang/101102830026.html
亚运豪庭,680,66498,亚运村小营,102.26㎡,79.91㎡,2室1厅1厨1卫,西南,2018-05-25,https://bj.ke.com/ershoufang/101102908469.html
锦绣馨园,750,73878,亚运村小营,101.52㎡,83.98㎡,2室1厅1厨1卫,东南,2018-05-26,https://bj.ke.com/ershoufang/101102910713.html
安慧东里,650,75407,亚运村小营,86.2㎡,暂无数据,2室2厅1厨1卫,西南,2018-06-05,https://bj.ke.com/ershoufang/101102948243.html
安慧东里,700,69514,亚运村小营,100.7㎡,78.96㎡,2室2厅1厨1卫,东南,2018-06-17,https://bj.ke.com/ershoufang/101102989015.html
嘉铭桐城A区,799,94691,亚运村小营,84.38㎡,67.01㎡,2室1厅1厨1卫,东 西,2018-06-24,https://bj.ke.com/ershoufang/101103012848.html
紫薇天悦,790,78467,亚运村小营,100.68㎡,81.6㎡,2室2厅1厨1卫,西南,2018-06-27,https://bj.ke.com/ershoufang/101103021972.html
华严北里8号院,700,85964,健翔桥,81.43㎡,81.43㎡,2室1厅1厨1卫,东南,2017-08-19,https://bj.ke.com/ershoufang/101101969690.html
亚奥人家,790,68882,健翔桥,114.69㎡,94.91㎡,2室1厅1厨1卫,南,2017-09-12,https://bj.ke.com/ershoufang/101102069334.html
亚奥人家,680,74204,健翔桥,91.64㎡,暂无数据,2室1厅1厨1卫,东 北,2018-04-05,https://bj.ke.com/ershoufang/101102735052.html
华严北里8号院,700,85964,健翔桥,81.43㎡,81.43㎡,2室1厅1厨1卫,东 南,2018-06-15,https://bj.ke.com/ershoufang/101102981171.html
颐源居一期,755,104383,公主坟,72.33㎡,暂无数据,2室1厅1厨1卫,西南,2018-03-24,https://bj.ke.com/ershoufang/101102691081.html
海淀九号,765,84699,六里桥,90.32㎡,71.3㎡,2室1厅1厨1卫,南,2017-03-05,https://bj.ke.com/ershoufang/101101281443.html
澐澐国际,660,63134,六里桥,104.54㎡,82.22㎡,2室1厅1厨2卫,东北,2017-11-25,https://bj.ke.com/ershoufang/101102339775.html
澐澐国际,800,61563,六里桥,129.95㎡,102.2㎡,2室1厅1厨2卫,东,2017-12-16,https://bj.ke.com/ershoufang/101102405648.html
华尔街观典,690,74547,六里桥,92.56㎡,71.85㎡,2室1厅1厨1卫,南 北,2018-02-01,https://bj.ke.com/ershoufang/101102536541.html
橙色年代,660,69205,六里桥,95.37㎡,73.29㎡,2室1厅1厨1卫,南 西,2018-02-02,https://bj.ke.com/ershoufang/101102537985.html
莲花小区,750,66947,六里桥,112.03㎡,87.9㎡,2室1厅1厨1卫,东南,2018-03-02,https://bj.ke.com/ershoufang/101102596255.html
澐澐国际,650,62178,六里桥,104.54㎡,82.22㎡,2室1厅1厨2卫,东 北,2018-03-24,https://bj.ke.com/ershoufang/101102692161.html
莲花小区,700,63591,六里桥,110.08㎡,86.37㎡,2室1厅1厨1卫,西南,2018-04-02,https://bj.ke.com/ershoufang/101102728381.html
橙色年代,660,68865,六里桥,95.84㎡,73.65㎡,2室1厅1厨1卫,东,2018-04-08,https://bj.ke.com/ershoufang/101102749383.html
橙色年代,728,81835,六里桥,88.96㎡,69.84㎡,2室1厅1厨1卫,西北,2018-04-14,https://bj.ke.com/ershoufang/101102770192.html
橙色年代,650,67822,六里桥,95.84㎡,73.65㎡,2室1厅1厨1卫,西,2018-04-25,https://bj.ke.com/ershoufang/101102806387.html
橙色年代,650,68213,六里桥,95.29㎡,73.97㎡,2室1厅1厨1卫,西,2018-04-30,https://bj.ke.com/ershoufang/101102822605.html
橙色年代,680,70952,六里桥,95.84㎡,73.65㎡,2室1厅1厨1卫,西,2018-06-03,https://bj.ke.com/ershoufang/101102941083.html
澐澐国际,790,61246,六里桥,128.99㎡,101.45㎡,2室1厅1厨2卫,西,2018-06-10,https://bj.ke.com/ershoufang/101102965619.html
