xiaoqu,total_price,unit_price,district,region,build_area,house_area,room,orientations,guapai_time,url
山水巢东,660,61764,朝阳,北苑,106.86㎡,86.79㎡,2室1厅1厨1卫,西南,2018-06-28,https://bj.ke.com/ershoufang/101103025592.html
山水蓝维,780,80972,朝阳,北苑,96.33㎡,86.4㎡,2室1厅1厨1卫,南 北,2017-11-10,https://bj.ke.com/ershoufang/101102289458.html
山水蓝维,790,82095,朝阳,北苑,96.23㎡,暂无数据,2室1厅1厨1卫,南 北,2018-05-06,https://bj.ke.com/ershoufang/101102844832.html
拂林园,780,67551,朝阳,北苑,115.47㎡,97.58㎡,2室1厅1厨2卫,南,2017-08-15,https://bj.ke.com/ershoufang/101101950217.html
拂林园,780,62271,朝阳,北苑,125.26㎡,106.35㎡,2室1厅1厨1卫,东南,2017-09-16,https://bj.ke.com/ershoufang/101102089707.html
拂林园,769,61393,朝阳,北苑,125.26㎡,106.35㎡,2室1厅1厨2卫,西,2017-11-11,https://bj.ke.com/ershoufang/101102295336.html
拂林园,800,57168,朝阳,北苑,139.94㎡,118.93㎡,2室1厅1厨1卫,东 南 北,2018-04-03,https://bj.ke.com/ershoufang/101102731677.html
拂林园,800,59894,朝阳,北苑,133.57㎡,113.4㎡,2室1厅1厨1卫,东 南 北,2018-04-25,https://bj.ke.com/ershoufang/101102804431.html
拂林园,800,57070,朝阳,北苑,140.18㎡,119.02㎡,2室2厅1厨1卫,西南 北,2018-05-18,https://bj.ke.com/ershoufang/101102884030.html
拂林园,810,66810,朝阳,北苑,121.24㎡,100.77㎡,2室1厅1厨2卫,南,2018-06-07,https://bj.ke.com/ershoufang/101102954575.html
拂林园,760,60723,朝阳,北苑,125.16㎡,106.37㎡,2室1厅1厨1卫,东南,2018-06-13,https://bj.ke.com/ershoufang/101102974746.html
拂林园,820,68214,朝阳,北苑,120.21㎡,100.76㎡,2室1厅1厨1卫,南,2018-06-16,https://bj.ke.com/ershoufang/101102984442.html
拂林园,750,60073,朝阳,北苑,124.85㎡,106.11㎡,2室1厅1厨1卫,东南,2018-06-30,https://bj.ke.com/ershoufang/101103035237.html
拂林园,750,59738,朝阳,北苑,125.55㎡,106.7㎡,2室1厅1厨1卫,西南,2018-06-30,https://bj.ke.com/ershoufang/101103035244.html
新街坊,770,65095,朝阳,北苑,118.29㎡,95.76㎡,2室1厅1厨2卫,南,2018-06-08,https://bj.ke.com/ershoufang/101102957496.html
润泽公馆,750,85931,朝阳,北苑,87.28㎡,69.52㎡,2室1厅1厨1卫,南 北,2017-03-01,https://bj.ke.com/ershoufang/101101257166.html
润泽公馆,750,86108,朝阳,北苑,87.1㎡,68.91㎡,2室1厅1厨1卫,南 北,2017-06-28,https://bj.ke.com/ershoufang/101101749828.html
